"participant_id","fileAs","givenname","surname","birthdate","gender","Address_1","city","province","postalCode"
"34","Griff, Rene","Rene","Griff","6/23/2001 12:00:00 AM","male","1508 Adelaide St","MACKLIN","SK","S0K 4L0"
"35","Plowden, Richard","Richard","Plowden","1/14/2003 12:00:00 AM","male","431 Acton Avenue","SASKATOON","SK","S7L 1Z4"
"36","Mekelburg, Brianne","Brianne","Mekelburg","12/18/2003 12:00:00 AM","female","4014 rue des Champs","PRINCE ALBERT","SK","S6V 5Z6"
"37","Seavey, Jeffrey","Jeffrey","Seavey","1/11/2004 12:00:00 AM","male","874 rue des Églises Est","WEYBURN","SK","S4H 0W1"
"38","Copsey, Yvonne","Yvonne","Copsey","12/31/2003 12:00:00 AM","female","3956 Rue De La Gare","REGINA","SK","S4R 2C4"
"39","Deering, Gregg","Gregg","Deering","10/10/2003 12:00:00 AM","male","242 Lockhart Drive","ESTEVAN","SK","S4A 2P2"
"40","Younan, Dustin","Dustin","Younan","2/2/2000 12:00:00 AM","male","748 Robson St","YORKTON","SK","S3N 1T2"
"41","Sampsel, Joseph","Joseph","Sampsel","8/17/2003 12:00:00 AM","male","3477 rue des Églises Est","CLIMAX","SK","S0N 0N0"
"42","Friedman, Andrew","Andrew","Friedman","11/10/2002 12:00:00 AM","male","2843 Queen Elisabeth Blvd","PENSE","SK","S0G 3W0"
"43","Keller, Corrine","Corrine","Keller","5/9/2004 12:00:00 AM","female","1602 Pape Ave","SEMANS","SK","S0A 3S0"
"44","Bin, Enoch","Enoch","Bin","4/8/2000 12:00:00 AM","male","3465 Toy Avenue","REGINA","SK","S4X 2R9"
"45","Churchman, Ramona","Ramona","Churchman","9/10/2000 12:00:00 AM","female","4790 Paris St","MOOSE JAW","SK","S6H 7G7"
"46","Elvin, Eugene","Eugene","Elvin","6/8/2003 12:00:00 AM","male","3936 40th Street","MOOSE JAW","SK","S6H 2S5"
"47","Carr, Margurite","Margurite","Carr","3/19/2003 12:00:00 AM","female","2228 Brand Road","WEYBURN","SK","S4H 2V3"
"48","Santmyer, Beverly","Beverly","Santmyer","9/17/2003 12:00:00 AM","female","1454 Robson St","PRINCE ALBERT","SK","S6V 0P2"
"49","Pfoutz, Timothy","Timothy","Pfoutz","5/14/2001 12:00:00 AM","male","4284 Princess St","YORKTON","SK","S3N 2X3"
"50","Wollschlager, Amanda","Amanda","Wollschlager","6/17/2004 12:00:00 AM","female","4869 Roger Street","ESTEVAN","SK","S4A 1Z8"
"51","Cumby, Elizabeth","Elizabeth","Cumby","9/2/2000 12:00:00 AM","female","198 Brew Creek Rd","SASKATOON","SK","S7J 2R7"
"52","Degennaro, Winona","Winona","Degennaro","11/9/1999 12:00:00 AM","female","4102 Orenda Rd","WEYBURN","SK","S4H 0Y2"
"53","Neuberger, Julio","Julio","Neuberger","7/30/2000 12:00:00 AM","male","4581 Jones Road","SASKATOON","SK","S7H 0E2"
"54","Salte, Don","Don","Salte","11/13/2002 12:00:00 AM","male","4688 Central Pkwy","SASKATOON","SK","S7L 3R6"
"55","Nicanor, Dennis","Dennis","Nicanor","6/29/2003 12:00:00 AM","male","2230 Scarth Street","TESSIER","SK","S0L 3G0"
"56","Kuang, Lionel","Lionel","Kuang","4/12/2003 12:00:00 AM","male","1655 Sixth Street","SASKATOON","SK","S7H 4T6"
"57","Mamros, Harry","Harry","Mamros","7/19/2003 12:00:00 AM","male","4803 Merivale Road","SASKATOON","SK","S7K 3J9"
"58","Hake, Jason","Jason","Hake","8/29/2002 12:00:00 AM","male","1452 Ste. Catherine Ouest","MACOUN","SK","S0C 1P0"
"59","Wetterauer, Raymond","Raymond","Wetterauer","2/18/2001 12:00:00 AM","male","1598 rue Parc","REYMORE","SK","S0A 3J0"
"60","Boehlar, Timothy","Timothy","Boehlar","8/8/2000 12:00:00 AM","male","3998 René-Lévesque Blvd","PRINCE ALBERT","SK","S6V 6J3"
"61","Serasio, Jacob","Jacob","Serasio","1/6/2004 12:00:00 AM","male","4148 Eglinton Avenue","ESTEVAN","SK","S4A 0H4"
"62","Gaynor, Rosa","Rosa","Gaynor","10/3/2003 12:00:00 AM","female","983 Port Washington Road","ESTEVAN","SK","S4A 1Z8"
"63","Michalowski, Barbara","Barbara","Michalowski","3/22/2001 12:00:00 AM","female","4409 102nd Avenue","SASKATOON","SK","S7T 0C1"
"64","Draeger, Craig","Craig","Draeger","11/28/2003 12:00:00 AM","male","4244 Fourth Avenue","PRINCE ALBERT","SK","S6V 0S4"
"65","Pelto, Garfield","Garfield","Pelto","2/24/2003 12:00:00 AM","male","4513 Reserve St","MOOSE JAW","SK","S6H 1T2"
"66","Arbogast, Thomas","Thomas","Arbogast","8/11/1999 12:00:00 AM","male","2078 Roger Street","HUDSAON BAY","SK","S0E 0Y0"
"67","Gilberg, Judith","Judith","Gilberg","3/30/2004 12:00:00 AM","female","1448 Fallon Drive","MOOSE JAW","SK","S6H 2Z5"
"68","Poppell, Kathy","Kathy","Poppell","12/9/2003 12:00:00 AM","female","2665 rue des Églises Est","MOOSE JAW","SK","S6J 1G1"
"69","Swiger, Ruthie","Ruthie","Swiger","7/31/2000 12:00:00 AM","female","3853 Princess St","SASKATOON","SK","S7L 5B6"
"70","Lucus, Christopher","Christopher","Lucus","1/12/2001 12:00:00 AM","male","3905 Gorham Street","PRINCE ALBERT","SK","S6V 3W5"
"71","Smittle, Keith","Keith","Smittle","3/16/2003 12:00:00 AM","male","3677 rue Garneau","PRINCE ALBERT","SK","S6V 2N9"
"72","Nair, Richard","Richard","Nair","12/18/2002 12:00:00 AM","male","2369 George Street","LLOYDMINSTER","SK","S9V 0Y1"
"73","Mulvihill, Anjanette","Anjanette","Mulvihill","7/14/2000 12:00:00 AM","female","270 Port Washington Road","MOOSE JAW","SK","S6H 0Y5"
"74","Mynatt, Donnie","Donnie","Mynatt","7/20/2000 12:00:00 AM","male","71 Parkdale Ave","ESTEVAN","SK","S4A 2N5"
"75","Ailshire, Donald","Donald","Ailshire","6/26/2001 12:00:00 AM","male","67 Queens Sq","REGINA","SK","S4N 2L5"
"76","Garciamendez, Brian","Brian","Garciamendez","12/3/2002 12:00:00 AM","male","4687 184th Street","SASKATOON","SK","S7M 0P2"
"77","Markowicz, Bobby","Bobby","Markowicz","3/24/2004 12:00:00 AM","male","2190 Weir Crescent","SWIFT CURRENT","SK","S9H 2Z4"
"78","Longacre, Scott","Scott","Longacre","10/6/1999 12:00:00 AM","male","74 9th Ave","MOOSE JAW","SK","S6J 1C5"
"79","Span, Vera","Vera","Span","10/2/1999 12:00:00 AM","female","4726 Tycos Dr","FORT QU'APPELLE","SK","S0G 1S0"
"80","Lemon, Kevin","Kevin","Lemon","2/18/2003 12:00:00 AM","male","1176 Barton Street","SASKATOON","SK","S7M 5V8"
"81","Alcala, Crystal","Crystal","Alcala","3/10/2003 12:00:00 AM","female","83 Acton Avenue","REGINA","SK","S4S 6P5"
"82","Lora, Benjamin","Benjamin","Lora","1/24/2000 12:00:00 AM","male","4966 Elgin Street","REGINA","SK","S4S 3C6"
"83","Holtzinger, Seth","Seth","Holtzinger","2/4/2000 12:00:00 AM","male","4448 Sixth Street","REGINA","SK","S4K 0A3"
"84","Kamphoefner, Diana","Diana","Kamphoefner","4/28/2001 12:00:00 AM","female","2093 Pine Street","SWIFT CURRENT","SK","S9H 2R8"
"85","Moctezuma, Keith","Keith","Moctezuma","12/26/2002 12:00:00 AM","male","2486 Heritage Drive","MOOSE JAW","SK","S6H 5L3"
"86","Auslam, Rochelle","Rochelle","Auslam","3/2/2003 12:00:00 AM","female","3093 rue des Églises Est","PRINCE ALBERT","SK","S6V 0L4"
"87","Hanks, Richard","Richard","Hanks","4/8/2000 12:00:00 AM","male","4199 Wascana Parkway","PRINCE ALBERT","SK","S6V 2V5"
"88","Putterman, Jay","Jay","Putterman","10/15/2000 12:00:00 AM","male","640 Halsey Avenue","SASKATOON","SK","S7L 4Y9"
"89","Andrade, Jacob","Jacob","Andrade","3/24/2001 12:00:00 AM","male","1024 Granville St","SASKATOON","SK","S7L 2T7"
"90","Freyre, Paul","Paul","Freyre","7/31/2000 12:00:00 AM","male","336 Charleton Ave","HUMBOLDT","SK","S0K 2P0"
"91","Crudele, John","John","Crudele","2/18/2003 12:00:00 AM","male","1750 Bay Street","SASKATOON","SK","S7N 0B8"
"92","Gourdin, Barbara","Barbara","Gourdin","5/9/2004 12:00:00 AM","female","3520 Tycos Dr","REGINA","SK","S4T 6A9"
"93","Higgins, Mildred","Mildred","Higgins","7/12/2003 12:00:00 AM","female","4128 9th Avenue","ANNAHEIM","SK","S0K 0G0"
"94","Cohen, Zackary","Zackary","Cohen","7/27/1999 12:00:00 AM","male","1557 Port Washington Road","PRINCE ALBERT","SK","S6V 7T1"
"95","Newborn, Raymond","Raymond","Newborn","6/15/2001 12:00:00 AM","male","1395 1st Ave","NORTH BATTLEFORD","SK","S9A 2J5"
"96","Strutz, Diana","Diana","Strutz","2/20/2003 12:00:00 AM","female","1564 Thurston Dr","LOREBURN","SK","S0H 2S0"
"97","Fluetsch, Samatha","Samatha","Fluetsch","10/17/2003 12:00:00 AM","female","2464 Burdett Avenue","SPY HILL","SK","S0A 3W0"
"98","Robillard, Michael","Michael","Robillard","9/13/2002 12:00:00 AM","male","682 Alaska Hwy","WEYBURN","SK","S4H 1C6"
"99","Andrus, Joe","Joe","Andrus","11/12/1999 12:00:00 AM","male","4380 Essendene Avenue","SOUTHEY","SK","S0G 4P0"
"100","Dalton, Jose","Jose","Dalton","3/9/2003 12:00:00 AM","male","3126 rue Garneau","SASKATOON","SK","S7J 2L6"
"101","Brahmbhatt, Lorelei","Lorelei","Brahmbhatt","4/26/2004 12:00:00 AM","female","1392 Bloor Street","PRINCE ALBERT","SK","S6V 0T4"
"102","Gatica, Ray","Ray","Gatica","9/3/2003 12:00:00 AM","male","980 Halsey Avenue","REGINA","SK","S4X 2X2"
"103","Urban, Martin","Martin","Urban","6/3/2004 12:00:00 AM","male","4371 Dominion St","WEYBURN","SK","S4H 2T1"
"104","Heinrich, James","James","Heinrich","2/2/2003 12:00:00 AM","male","1800 White Point Road","SASKATOON","SK","S7N 1G7"
"105","Kimbrough, Larry","Larry","Kimbrough","5/22/2003 12:00:00 AM","male","3629 Speers Road","MOOSE JAW","SK","S6J 1B3"
"106","Christianson, David","David","Christianson","6/13/2004 12:00:00 AM","male","2606 Reserve St","MOOSE JAW","SK","S6H 1J4"
"107","Difatta, Ross","Ross","Difatta","11/4/2002 12:00:00 AM","male","4395 40th Street","WEYBURN","SK","S4H 3T9"
"108","Dederich, Robert","Robert","Dederich","6/12/2001 12:00:00 AM","male","766 Jasper Ave","REGINA","SK","S4X 2Y8"
"109","Hurst, Barton","Barton","Hurst","1/19/2000 12:00:00 AM","male","2490 Weston Rd","NORTH BATTLEFORD","SK","S9A 2C8"
"110","Kufahl, Mervin","Mervin","Kufahl","4/12/2003 12:00:00 AM","male","830 rue Levy","REGINA","SK","S4X 2J7"
"111","Bridenstine, John","John","Bridenstine","11/3/2003 12:00:00 AM","male","1984 rue Principale","SASKATOON","SK","S7J 1P8"
"112","Cawvey, Dee","Dee","Cawvey","2/21/2001 12:00:00 AM","female","2364 St Jean Baptiste St","PRINCE ALBERT","SK","S6V 8B8"
"113","Bringman, Willie","Willie","Bringman","3/7/2004 12:00:00 AM","male","4323 Haaglund Rd","YORKTON","SK","S3N 2P2"
"114","Holton, Richard","Richard","Holton","8/4/1999 12:00:00 AM","male","228 Victoria Park Ave","LUSELAND","SK","X0X 0X0"
"115","Bingle, Matthew","Matthew","Bingle","7/2/1999 12:00:00 AM","male","2915 Charing Cross Rd","PRINCE ALBERT","SK","S6V 1A6"
"116","Klein, James","James","Klein","2/3/2003 12:00:00 AM","male","900 Victoria Park Ave","MOOSE JAW","SK","S6J 1G2"
"117","Omeragic, Bryan","Bryan","Omeragic","1/5/2003 12:00:00 AM","male","4832 Sunset Ln","SWIFT CURRENT","SK","S9H 1B2"
"118","Hazel, Sebrina","Sebrina","Hazel","1/7/2004 12:00:00 AM","female","2994 Brew Creek Rd","WEYBURN","SK","S4H 0Z8"
"119","Ediger, Tiffany","Tiffany","Ediger","1/8/2001 12:00:00 AM","female","1915 avenue Royale","ESTEVAN","SK","S4A 0B8"
"120","Hawks, Carl","Carl","Hawks","3/1/2004 12:00:00 AM","male","2261 Burnt Island Road","REGINA","SK","S4S 3C6"
"121","Rohrbaugh, Helen","Helen","Rohrbaugh","5/25/2002 12:00:00 AM","female","3602 Leduc Street","SWIFT CURRENT","SK","S9H 2X6"
"122","Kirklin, Scott","Scott","Kirklin","6/26/2005 12:00:00 AM","male","885 Park Ct","SPRINGWATER","SK","S0K 4E0"
"123","Rivera, Jorge","Jorge","Rivera","5/25/2004 12:00:00 AM","male","804 Adelaide St","REGINA","SK","S4S 0S3"
"124","Clark, Charles","Charles","Clark","8/6/2001 12:00:00 AM","male","1922 Tanner Street","PRINCE ALBERT","SK","S6V 1B8"
"125","Relyea, John","John","Relyea","5/23/2004 12:00:00 AM","male","3284 Richmond Street","ROBSART","SK","S0N 2G0"
"126","Ketterman, Christopher","Christopher","Ketterman","2/19/2001 12:00:00 AM","male","4624 Robson St","WEYBURN","SK","S4H 2X5"
"127","Olea, Joseph","Joseph","Olea","11/8/2004 12:00:00 AM","male","1398 Isabella Street","SASKATOON","SK","S7H 0K4"
"128","Brantner, Deborah","Deborah","Brantner","1/23/2005 12:00:00 AM","female","1786 Granville St","WEYBURN","SK","S4H 2Z5"
"129","Liao, Edgar","Edgar","Liao","7/17/2003 12:00:00 AM","male","341 Nootka Street","WEYBURN","SK","S4H 0S3"
"130","Vince, Michael","Michael","Vince","2/27/2005 12:00:00 AM","male","685 White Point Road","PRINCE ALBERT","SK","S6V 1S5"
"131","Engelson, Lynn","Lynn","Engelson","8/6/2000 12:00:00 AM","female","366 Saskatchewan Ave","PRINCE ALBERT","SK","S6V 0H8"
"132","Chitty, Melissa","Melissa","Chitty","9/25/2000 12:00:00 AM","female","3971 Elgin Street","REGINA","SK","S4N 7L1"
"133","Lebold, Brian","Brian","Lebold","7/2/2000 12:00:00 AM","male","3703 Bloor Street","SASKATOON","SK","S7P 1C4"
"134","Acimovic, Ronald","Ronald","Acimovic","10/26/2000 12:00:00 AM","male","2801 Brew Creek Rd","SASKATOON","SK","S7L 3V7"
"135","Hintze, Ronnie","Ronnie","Hintze","6/20/2005 12:00:00 AM","male","1347 Nelson Street","MOOSE JAW","SK","S6H 3H8"
"136","Waters, Kim","Kim","Waters","1/6/2004 12:00:00 AM","female","3446 Exmouth Street","REGINA","SK","S4S 0V9"
"137","Jinright, Norman","Norman","Jinright","7/15/2000 12:00:00 AM","male","1153 Rue De La Gare","MOOSE JAW","SK","S6H 6T5"
"138","Findley, Mary","Mary","Findley","1/7/2004 12:00:00 AM","female","177 Bloor Street","WAKAW","SK","S0K 4P0"
"139","Fenstermaker, Jennifer","Jennifer","Fenstermaker","8/8/2001 12:00:00 AM","female","1717 Blanshard","WEYBURN","SK","S4H 0G9"
"140","Steeves, Kimberly","Kimberly","Steeves","2/8/2004 12:00:00 AM","female","1426 Keith Road","PRINCE ALBERT","SK","S6V 0C3"
"141","Liljegren, Susan","Susan","Liljegren","8/20/2004 12:00:00 AM","female","2190 Boulevard Cremazie","YORKTON","SK","S3N 2P2"
"142","Luedtke, Armando","Armando","Luedtke","5/19/2002 12:00:00 AM","male","2119 Barrydowne Road","PRINCE ALBERT","SK","S6V 1Y4"
"143","Touchette, Julia","Julia","Touchette","7/21/2003 12:00:00 AM","female","1331 Lynden Road","SMEATON","SK","S0J 2G0"
"144","Fortney, Chadwick","Chadwick","Fortney","3/11/2005 12:00:00 AM","male","385 Mill Street","SASKATOON","SK","S7J 3J1"
"145","Tanji, Eleanor","Eleanor","Tanji","12/7/2003 12:00:00 AM","female","3865 Bridgeport Rd","CANORA","SK","S0A 1S0"
"146","Phelp, Michael","Michael","Phelp","12/1/2000 12:00:00 AM","male","1273 Richford Road","SALTCOATS","SK","S0A 3R0"
"147","Sabatelli, Al","Al","Sabatelli","8/8/2003 12:00:00 AM","male","182 Tchesinkut Lake Rd","TURTLEFORD","SK","S0M 2Y0"
"148","Eley, Raymond","Raymond","Eley","9/8/2003 12:00:00 AM","male","4194 Tycos Dr","REGINA","SK","S4R 7M3"
"149","Wedel, Long","Long","Wedel","10/29/2003 12:00:00 AM","male","1347 Main St","SASKATOON","SK","S7M 4R3"
"150","Kenon, Ethel","Ethel","Kenon","8/11/2000 12:00:00 AM","female","4699 George Street","NORTH BATTLEFORD","SK","S9A 3W4"
"151","Korn, Amanda","Amanda","Korn","10/18/2004 12:00:00 AM","female","821 Lynden Road","REGINA","SK","S4N 1T7"
"152","Martinson, Eric","Eric","Martinson","1/23/2005 12:00:00 AM","male","3399 Heatherleigh","SASKATOON","SK","S7N 4R8"
"153","Hoss, David","David","Hoss","9/1/2003 12:00:00 AM","male","4664 Brant Ave","MOOSE JAW","SK","S6H 2Z4"
"154","Dobbs, Stephen","Stephen","Dobbs","11/10/2001 12:00:00 AM","male","1675 Eglinton Avenue","WEYBURN","SK","S4H 1N8"
"155","Brusser, Clara","Clara","Brusser","5/11/2001 12:00:00 AM","female","4186 Harvest Moon Dr","REGINA","SK","S4V 0H6"
"156","Webbink, Leonard","Leonard","Webbink","9/17/2004 12:00:00 AM","male","3407 Embro St","SASKATOON","SK","S7H 0Z3"
"157","Bukowski, Nancy","Nancy","Bukowski","4/14/2002 12:00:00 AM","female","3222 Côte Joyeuse","SASKATOON","SK","S7K 7H8"
"158","Almon, Ivan","Ivan","Almon","4/5/2004 12:00:00 AM","male","3737 Sheppard Ave","SASKATOON","SK","S7V 1A1"
"159","Brannan, Lisa","Lisa","Brannan","7/11/2003 12:00:00 AM","female","1799 A Avenue","MOOSE JAW","SK","S6H 3W7"
"160","Ealy, Paul","Paul","Ealy","11/10/2001 12:00:00 AM","male","1213 Boulevard Cremazie","ESTEVAN","SK","S4A 2B7"
"161","Lauterbach, Rodney","Rodney","Lauterbach","6/18/2001 12:00:00 AM","male","4445 Granville St","SASKATOON","SK","S7J 2C1"
"162","Falter, Charles","Charles","Falter","6/6/2005 12:00:00 AM","male","592 Charleton Ave","SASKATOON","SK","S7K 5S6"
"163","Brickley, Kassandra","Kassandra","Brickley","12/3/2000 12:00:00 AM","female","2759 Tanner Street","WEYBURN","SK","S4H 1Z3"
"164","Ayers, James","James","Ayers","6/16/2002 12:00:00 AM","male","2917 A Avenue","REGINA","SK","S4S 4R3"
"165","Jeffords, Gabriella","Gabriella","Jeffords","2/20/2004 12:00:00 AM","female","4817 Brand Road","LA RONGE","SK","S0J 1C0"
"166","Balfe, Horace","Horace","Balfe","6/18/2004 12:00:00 AM","male","993 Gateway Blvd","MOOSE JAW","SK","S6H 1B4"
"167","Maggard, Michael","Michael","Maggard","2/4/2005 12:00:00 AM","male","2834 Brew Creek Rd","PRINCE ALBERT","SK","S6V 1Y3"
"168","Przybylski, James","James","Przybylski","8/26/2000 12:00:00 AM","male","3789 Paris St","MOOSE JAW","SK","S6H 3W7"
"169","Jedlicka, Charles","Charles","Jedlicka","4/7/2004 12:00:00 AM","male","3811 rue Saint-Antoine","SASKATOON","SK","S7M 4Z2"
"170","Jore, Alex","Alex","Jore","11/19/2004 12:00:00 AM","male","3499 Bank St","PAMBRUN","SK","S0N 1W0"
"171","Snow, Stephanie","Stephanie","Snow","11/17/2004 12:00:00 AM","female","4857 Murray Road","REGINA","SK","S4X 4L4"
"172","Smythe, Lewis","Lewis","Smythe","7/11/2003 12:00:00 AM","male","3313 Bloor Street","REGINA","SK","S4R 4P4"
"173","Luketic, Andrew","Andrew","Luketic","5/28/2005 12:00:00 AM","male","1380 Harvest Moon Dr","REGINA","SK","S4P 3A1"
"174","Fennell, Johnny","Johnny","Fennell","11/4/2001 12:00:00 AM","male","867 Boulevard Laflèche","REGINA","SK","S4R 5W3"
"175","Adelson, Matthew","Matthew","Adelson","2/1/2001 12:00:00 AM","male","3385 Port Washington Road","SWIFT CURRENT","SK","S9H 4S1"
"176","Tebeau, Desiree","Desiree","Tebeau","3/13/2001 12:00:00 AM","female","4221 Derry Rd","STONEHENGE","SK","S0H 3Y0"
"177","Tippett, James","James","Tippett","4/5/2002 12:00:00 AM","male","4537 Jasper Ave","PRINCE ALBERT","SK","S6V 0B6"
"178","Kreider, Edgar","Edgar","Kreider","12/26/2000 12:00:00 AM","male","2324 avenue Royale","SASKATOON","SK","S7H 5P9"
"179","McFee, Todd","Todd","McFee","1/29/2002 12:00:00 AM","male","4059 Pape Ave","REGINA","SK","S4P 2K2"
"180","Delangel, Barbara","Barbara","Delangel","3/6/2005 12:00:00 AM","female","3080 Nelson Street","MOOSE JAW","SK","S6H 4Y8"
"181","Glaspie, Jack","Jack","Glaspie","7/17/2004 12:00:00 AM","male","941 Adelaide St","SASKATOON","SK","S7H 4Y8"
"182","Ellicott, Jack","Jack","Ellicott","4/5/2005 12:00:00 AM","male","2347 Bay Street","SASKATOON","SK","S7H 1N3"
"183","Coronel, Charles","Charles","Coronel","10/19/2003 12:00:00 AM","male","4191 rue Garneau","ESTEVAN","SK","S4A 1E5"
"184","Champlin, Chris","Chris","Champlin","5/17/2004 12:00:00 AM","male","40 Scotchmere Dr","REGINA","SK","S4Y 1G6"
"185","Schwartzman, Scott","Scott","Schwartzman","7/9/2004 12:00:00 AM","male","4467 Hardy Street","MOOSE JAW","SK","S6H 3E2"
"186","Montgonery, Joseph","Joseph","Montgonery","4/24/2004 12:00:00 AM","male","1738 St. John Street","MOOSE JAW","SK","S6H 6X6"
"187","Claypool, Alan","Alan","Claypool","7/5/2004 12:00:00 AM","male","2250 Ste. Catherine Ouest","REGINA","SK","S4T 6K9"
"188","Bohnstedt, Angie","Angie","Bohnstedt","2/3/2004 12:00:00 AM","female","35 Exmouth Street","SASKATOON","SK","S7K 3A1"
"189","McFarland, Barb","Barb","McFarland","6/19/2005 12:00:00 AM","female","1123 Ste. Catherine Ouest","SWIFT CURRENT","SK","S9H 3Y3"
"190","Coello, Diane","Diane","Coello","8/17/2004 12:00:00 AM","female","1733 Queen Elizabeth Boulevard","SASKATOON","SK","S7K 5N8"
"191","Loughry, Stacy","Stacy","Loughry","4/17/2005 12:00:00 AM","female","1823 René-Lévesque Blvd","SWIFT CURRENT","SK","S9H 2X6"
"192","Rabi, Marianne","Marianne","Rabi","1/4/2005 12:00:00 AM","female","4990 Burnt Island Road","ESTEVAN","SK","S4A 1Y5"
"193","Fullerton, Gary","Gary","Fullerton","5/25/2001 12:00:00 AM","male","1469 St. Paul Street","NORTH BATTLEFORD","SK","S9A 3H1"
"194","Vandegrift, Rodney","Rodney","Vandegrift","6/17/2005 12:00:00 AM","male","87 Nelson Street","SWIFT CURRENT","SK","S9H 2V4"
"195","Cropsey, Michael","Michael","Cropsey","3/12/2002 12:00:00 AM","male","4090 Rue King","ESTEVAN","SK","S4A 0Y1"
